businessID,neighborhoodName,businessID,address,businessName,photoURL,city,state,url,reviewCount,stars,longitude,latitude
8S_Vpr1kIPnP3yynZb79dw,University City,8S_Vpr1kIPnP3yynZb79dw,"S 33rdUniversity CityPhiladelphia, PA 19104",Franklin Field,http://s3-media3.ak.yelpcdn.com/bphoto/XrepQW17BRArGMD_MtQFJw/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/franklin-field-philadelphia,3,5,-75.1901014,39.9522303
8Wq0LZSuHdPTlleQD5sU_w,University City,8Wq0LZSuHdPTlleQD5sU_w,"3404 Sansom StUniversity CityPhiladelphia, PA 19104",The Bubble House,http://s3-media2.ak.yelpcdn.com/bphoto/-8-UivmjgE_YxXBSLJegLA/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/the-bubble-house-philadelphia,120,2.5,-75.1924417,39.9535932
94wTNYCNUYf5eclY8KxCcA,University City,94wTNYCNUYf5eclY8KxCcA,"33rd St Between Market And ChestnutPowelton VillagePhiladelphia, PA 19104",Insomnia Cookies,http://s3-media1.ak.yelpcdn.com/bphoto/xRfVC9qEuftrZFyd-D4BHg/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/insomnia-cookies-philadelphia-4,4,4.5,-75.1953934,39.9583587
9bbwPNPYXqP83reSK-hASg,University City,9bbwPNPYXqP83reSK-hASg,"238 S 38th StUniversity CityPhiladelphia, PA 19104","Yue Kee, Mobile Kitchen",http://s3-media1.ak.yelpcdn.com/bphoto/0oDKI60kPmv3gDRxl59jNw/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/yue-kee-mobile-kitchen-philadelphia,37,3.5,-75.198972,39.9527487
9eQ6a3iKhJHiNJmHU9Vv1Q,University City,9eQ6a3iKhJHiNJmHU9Vv1Q,"3600 Chestnut StUniversity CityPhiladelphia, PA 19104",Marathon Embroidery Company Inc,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Philadelphia,PA,http://www.yelp.com/biz/marathon-embroidery-company-inc-philadelphia,2,4,-75.1953751,39.9544457
9JJzExdkd6fvATS0dkHFgg,University City,9JJzExdkd6fvATS0dkHFgg,"4000 Woodland AveUniversity CityPhiladelphia, PA 19104",Woodlands Cemetery Co,http://s3-media1.ak.yelpcdn.com/bphoto/0j5ChWh7Jacl9G6cI3_BcQ/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/woodlands-cemetery-co-philadelphia,9,4.5,-75.2033016,39.9491135
9OhPfV0C3Q49l5tSre2MuQ,University City,9OhPfV0C3Q49l5tSre2MuQ,"4201 Chestnut StUniversity CityPhiladelphia, PA 19104",Kabobeesh,http://s3-media3.ak.yelpcdn.com/bphoto/M9yE_aNhFeLYq29FiCI55g/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/kabobeesh-philadelphia,90,4,-75.206499,39.956321
9ujr7iilByV0mM8N0-DAJw,University City,9ujr7iilByV0mM8N0-DAJw,"2929 Arch StUniversity CityPhiladelphia, PA 19195",Rae,http://s3-media2.ak.yelpcdn.com/bphoto/MOFNkCzOuWni4OmjB58F9w/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/rae-philadelphia,17,3.5,-75.1822288,39.9570934
A0F-h3xJm_6gHDKcDQwSrQ,University City,A0F-h3xJm_6gHDKcDQwSrQ,"3925 Walnut StUniversity CityPhiladelphia, PA 19104",Capogiro Gelato,http://s3-media4.ak.yelpcdn.com/bphoto/jKaWwV4xkSNuV0SKGCOSOQ/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/capogiro-gelato-philadelphia-2,110,4,-75.201935,39.954332
a2FCobBzFzC62IbHPa_oIg,University City,a2FCobBzFzC62IbHPa_oIg,"3409 Walnut StUniversity CityPhiladelphia, PA 19104",Mediterranean Cafe & Ice Cream,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Philadelphia,PA,http://www.yelp.com/biz/mediterranean-cafe-and-ice-cream-philadelphia,7,3,-75.1930905,39.952956
